Program Version = DWM3_Entropy_Cluster
Data/Time = 2020-08-23 11:56:19.104338
Source File = S8-TokenReplace.txt
Run Mode = NewMatrix
mu	epsilon	Size	Entropy
0.6	35	9	23.26412257432384
0.6	35	6	12.813270444940496
0.6	35	10	22.145684345940833
0.6	35	8	17.88147852213742
0.6	35	8	16.91167538716069
0.6	35	14	23.06553274327284
0.6	35	9	19.59254168739389
0.6	35	3	12.12631667339746
0.6	35	8	22.102741811909326
0.6	35	3	13.547870842227596
0.6	35	5	15.96118213778296
0.6	35	15	24.32903970899444
0.6	35	16	25.15459419855893
0.6	35	5	20.20503832755769
0.6	35	6	15.245614587540077
0.6	35	10	23.136810611833212
0.6	35	6	20.03312818143774
0.6	35	9	26.94566007680783
0.6	35	2	10.5
0.6	35	6	13.599897424052205
0.6	35	8	25.66890743853193
0.6	35	3	3.1448625026442394
0.6	35	3	11.711279174118616
0.6	35	11	17.294792122090417
0.6	35	8	30.526193757272395
0.6	35	3	3.5599000019230838
0.6	35	10	25.137577209620556
0.6	35	5	13.915649114733226
0.6	35	4	11.0
0.6	35	6	14.919844847142873
0.6	35	8	19.63303787880656
0.6	35	10	24.24337935863492
0.6	35	13	29.500740689879805
0.6	35	11	23.599345267265637
0.6	35	18	30.479148285838072
0.6	35	3	11.459650006730792
0.6	35	2	8.5
0.6	35	11	23.211772734248413
0.6	35	9	20.122464970255617
0.6	35	11	28.155947733868643
0.6	35	5	17.228500898097234
0.6	35	4	9.678946871213927
0.6	35	2	3.0
0.6	35	7	20.160721058479304
0.6	35	10	23.869007192646443
0.6	35	3	5.648120837419885
0.6	35	6	21.03638651621339
0.6	35	3	9.849625007211563
0.6	35	3	15.962908341506441
0.6	35	4	6.433834373377399
0.6	35	3	6.729825003365394
0.6	35	6	18.638847922796487
0.6	35	9	20.431610463426484
0.6	35	12	19.919478859011303
0.6	35	3	16.02606667820517
0.6	35	4	12.367668746754797
0.6	35	4	15.24511249783653
0.6	35	7	27.10596767800989
0.6	35	3	12.629575008173104
0.6	35	3	9.208020839342968
0.6	35	8	18.143941071004463
0.6	35	7	16.497477955490126
0.6	35	9	21.14809724294945
0.6	35	9	25.19901986851113
0.6	35	4	11.556390622295664
0.6	35	3	6.289725005288478
0.6	35	8	21.03867694103613
0.6	35	4	19.311278124459132
0.6	35	8	17.786233189954395
0.6	35	8	16.68217581483429
0.6	35	2	4.0
0.6	35	5	10.900285995323065
0.6	35	6	22.572933341025664
0.6	35	8	15.985436695383555
0.6	35	6	16.215584432279094
0.6	35	6	16.358897921834945
0.6	35	10	21.59658625619887
0.6	35	5	14.515092779552454
0.6	35	9	16.670541018180757
0.6	35	12	28.996352693070605
0.6	35	7	19.512249819455867
0.6	35	4	17.933834373377397
0.6	35	10	22.73115587184364
0.6	35	5	19.26844708614119
0.6	35	3	14.377945840785285
0.6	35	3	12.101254174599386
0.6	35	8	18.222511314413524
0.6	35	2	10.0
0.6	35	4	14.245112497836532
0.6	35	8	25.005594127724837
0.6	35	6	18.342253676816632
0.6	35	2	13.0
0.6	35	8	16.64630625510892
0.6	35	14	23.13240277462795
0.6	35	4	12.811278124459132
0.6	35	8	19.868110943961092
0.6	35	2	12.0
0.6	35	2	12.5
0.6	35	5	16.126545897231843
0.6	35	5	17.361738472963726
0.6	35	4	12.4338343733774
0.6	35	7	17.69012303343252
0.6	35	4	15.245112497836532
0.6	35	2	11.5
0.6	35	6	14.172328675374324
0.6	35	6	20.849625007211554
0.6	35	16	20.588688954028104
0.6	35	3	5.53483750312501
0.6	35	4	9.801503120132196
0.6	35	4	11.867668746754797
0.6	35	5	14.615370947142845
0.6	35	7	14.303488410505292
0.6	35	5	17.141909016642018
0.6	35	2	5.0
0.6	35	2	3.0
0.6	35	8	25.319316003265694
0.6	35	2	9.0
0.6	35	20	31.195735420798812
0.6	35	2	11.5
0.6	35	3	10.264662506490405
0.6	35	3	5.396491670032062
0.6	35	3	16.62957500817311
0.6	35	7	19.2070611824558
0.6	35	6	20.479744849065952
0.6	35	2	1.0
0.6	35	2	10.5
0.6	35	5	11.991487851390094
0.6	35	3	7.509775004326936
0.6	35	4	11.99022499567306
0.6	35	2	10.0
0.6	35	6	15.936489092161185
0.6	35	5	21.625567756760443
0.6	35	3	13.824562508413491
0.6	35	4	13.990224995673064
0.6	35	6	12.542401096061138
0.6	35	3	2.22656666858975
0.6	35	2	1.5
0.6	35	2	11.0
0.6	35	3	14.65463750697118
0.6	35	2	3.5
0.6	35	5	21.49679651880549
0.6	35	2	12.0
0.6	35	2	12.0
0.6	35	4	10.17894687121393
0.6	35	5	11.873469758233504
0.6	35	2	5.0
0.6	35	5	20.990231543328296
0.6	35	2	9.5
0.6	35	2	6.5
0.6	35	3	15.1829583405449
0.6	35	3	5.396491670032062
0.6	35	3	14.906266674359005
0.6	35	6	20.455537011111506
0.6	35	5	20.190231543328295
0.6	35	3	4.088220835496802
0.6	35	4	13.811278124459132
0.6	35	5	18.2261240919412
0.6	35	4	10.367668746754797
0.6	35	3	2.503258334775646
0.6	35	2	9.0
0.6	35	1	0.0
0.6	35	2	12.0
0.6	35	1	0.0
