LeftRecID,LeftLinkID,LeftRules,RightRecID,RightLinkID,RightRules,TruthID
"A935183","A933400","","A969374","A912375","","1"
"A969374","A912375","","A994281","A933400","","1"
"A935183","A933400","","A968925","A912375","","1"
"A994281","A933400","","A968925","A912375","","1"
"A935183","A933400","","A915784","A915784","","1"
"A969374","A912375","","A915784","A915784","","1"
"A994281","A933400","","A915784","A915784","","1"
"A968925","A912375","","A915784","A915784","","1"
"A935183","A933400","","A993286","A993286","","1"
"A969374","A912375","","A993286","A993286","","1"
"A994281","A933400","","A993286","A993286","","1"
"A968925","A912375","","A993286","A993286","","1"
"A915784","A915784","","A993286","A993286","","1"
"A969374","A912375","","A933400","A933400","","1"
"A968925","A912375","","A933400","A933400","","1"
"A915784","A915784","","A933400","A933400","","1"
"A993286","A993286","","A933400","A933400","","1"
"A915309","A915309","","A915335","A907116","","105"
"A915309","A915309","","A995501","A907116","","105"
"A915309","A915309","","A932217","A907116","","105"
"A915309","A915309","","A907116","A907116","","105"
"A960621","A923573","","A946404","A946404","","107"
"A923573","A923573","","A946404","A946404","","107"
"A969629","A923573","","A946404","A946404","","107"
"A984752","A923573","","A946404","A946404","","107"
"A942867","A942867","","A945431","A931477","","11"
"A942867","A942867","","A931477","A931477","","11"
"A913140","A913140","","A983530","A983530","","119"
"A983530","A983530","","A985909","A913140","","119"
"A988464","A913450","","A993963","A959899","","121"
"A978834","A913450","","A993963","A959899","","121"
"A977448","A913450","","A993963","A959899","","121"
"A992127","A913450","","A993963","A959899","","121"
"A913450","A913450","","A993963","A959899","","121"
"A993963","A959899","","A983575","A913450","","121"
"A964283","A959899","","A929039","A929039","","122"
"A979649","A959899","","A929039","A929039","","122"
"A929039","A929039","","A959899","A959899","","122"
"A929039","A929039","","A971708","A959899","","122"
"A929624","A929624","","A982541","A941459","","123"
"A929624","A929624","","A941459","A941459","","123"
"A961007","A911150","","A918999","A918999","","142"
"A958602","A911150","","A918999","A918999","","142"
"A918999","A918999","","A971641","A911150","","142"
"A922932","A922932","","A925834","A925834","","146"
"A922932","A922932","","A982361","A925834","","146"
"A922932","A922932","","A981036","A925834","","146"
"A922932","A922932","","A941482","A925834","","146"
"A922932","A922932","","A985782","A925834","","146"
"A909391","A909391","","A967178","A967178","","148"
"A909391","A909391","","A992954","A928956","","148"
"A967178","A967178","","A992954","A928956","","148"
"A909391","A909391","","A928956","A928956","","148"
"A967178","A967178","","A928956","A928956","","148"
"A989802","A954870","","A928089","A917341","","153"
"A954870","A954870","","A928089","A917341","","153"
"A989802","A954870","","A917341","A917341","","153"
"A954870","A954870","","A917341","A917341","","153"
"A928089","A917341","","A958825","A954870","","153"
"A917341","A917341","","A958825","A954870","","153"
"A921616","A912869","","A933913","A933913","","155"
"A933913","A933913","","A976180","A912869","","155"
"A933913","A933913","","A912869","A912869","","155"
"A921616","A912869","","A980269","A933913","","155"
"A976180","A912869","","A980269","A933913","","155"
"A912869","A912869","","A980269","A933913","","155"
"A934347","A930304","","A913272","A913272","","16"
"A987908","A930304","","A913272","A913272","","16"
"A934347","A930304","","A914964","A913272","","16"
"A987908","A930304","","A914964","A913272","","16"
"A913272","A913272","","A930304","A930304","","16"
"A914964","A913272","","A930304","A930304","","16"
"A934347","A930304","","A932311","A913272","","16"
"A987908","A930304","","A932311","A913272","","16"
"A930304","A930304","","A932311","A913272","","16"
"A921811","A904974","","A941950","A941950","","161"
"A968401","A904974","","A941950","A941950","","161"
"A941950","A941950","","A945509","A904974","","161"
"A921811","A904974","","A985424","A941950","","161"
"A968401","A904974","","A985424","A941950","","161"
"A945509","A904974","","A985424","A941950","","161"
"A976611","A904974","","A912961","A912961","","162"
"A912961","A912961","","A916897","A904974","","162"
"A912961","A912961","","A904974","A904974","","162"
"A909019","A909019","","A922274","A922274","","163"
"A909019","A909019","","A975937","A922274","","163"
"A909019","A909019","","A954369","A922274","","163"
"A909019","A909019","","A940396","A922274","","163"
"A936865","A936865","","A906711","A906711","","164"
"A980625","A936865","","A906711","A906711","","164"
"A983737","A936865","","A906711","A906711","","164"
"A960385","A931393","","A995655","A995655","","165"
"A975879","A931393","","A995655","A995655","","165"
"A965623","A931393","","A995655","A995655","","165"
"A995655","A995655","","A972063","A931393","","165"
"A995655","A995655","","A931393","A931393","","165"
"A955089","A931393","","A956922","A956922","","166"
"A956922","A956922","","A933736","A931393","","166"
"A911863","A911863","","A951005","A951005","","179"
"A911863","A911863","","A998698","A951005","","179"
