LeftRecID,LeftTruthID,RightRecID,RightTruthID,LinkID,Rules
"A921811","161","A976611","162","A904974",""
"A968401","161","A976611","162","A904974",""
"A945509","161","A976611","162","A904974",""
"A921811","161","A916897","162","A904974",""
"A968401","161","A916897","162","A904974",""
"A945509","161","A916897","162","A904974",""
"A921811","161","A904974","162","A904974",""
"A968401","161","A904974","162","A904974",""
"A945509","161","A904974","162","A904974",""
"A988248","86","A921612","87","A906536",""
"A909505","86","A921612","87","A906536",""
"A937623","86","A921612","87","A906536",""
"A961459","86","A921612","87","A906536",""
"A975356","86","A921612","87","A906536",""
"A926009","86","A921612","87","A906536",""
"A957160","86","A921612","87","A906536",""
"A944153","86","A921612","87","A906536",""
"A906536","86","A921612","87","A906536",""
"A988248","86","A976049","87","A906536",""
"A909505","86","A976049","87","A906536",""
"A937623","86","A976049","87","A906536",""
"A961459","86","A976049","87","A906536",""
"A975356","86","A976049","87","A906536",""
"A926009","86","A976049","87","A906536",""
"A957160","86","A976049","87","A906536",""
"A944153","86","A976049","87","A906536",""
"A906536","86","A976049","87","A906536",""
"A988248","86","A975098","87","A906536",""
"A909505","86","A975098","87","A906536",""
"A937623","86","A975098","87","A906536",""
"A961459","86","A975098","87","A906536",""
"A975356","86","A975098","87","A906536",""
"A926009","86","A975098","87","A906536",""
"A957160","86","A975098","87","A906536",""
"A944153","86","A975098","87","A906536",""
"A906536","86","A975098","87","A906536",""
"A988248","86","A955129","87","A906536",""
"A909505","86","A955129","87","A906536",""
"A937623","86","A955129","87","A906536",""
"A961459","86","A955129","87","A906536",""
"A975356","86","A955129","87","A906536",""
"A926009","86","A955129","87","A906536",""
"A957160","86","A955129","87","A906536",""
"A944153","86","A955129","87","A906536",""
"A906536","86","A955129","87","A906536",""
"A988248","86","A944994","87","A906536",""
"A909505","86","A944994","87","A906536",""
"A937623","86","A944994","87","A906536",""
"A961459","86","A944994","87","A906536",""
"A975356","86","A944994","87","A906536",""
"A926009","86","A944994","87","A906536",""
"A957160","86","A944994","87","A906536",""
"A944153","86","A944994","87","A906536",""
"A906536","86","A944994","87","A906536",""
"A988248","86","A906951","87","A906536",""
"A909505","86","A906951","87","A906536",""
"A937623","86","A906951","87","A906536",""
"A961459","86","A906951","87","A906536",""
"A975356","86","A906951","87","A906536",""
"A926009","86","A906951","87","A906536",""
"A957160","86","A906951","87","A906536",""
"A944153","86","A906951","87","A906536",""
"A906536","86","A906951","87","A906536",""
"A935555","69","A938623","70","A907020",""
"A974134","69","A938623","70","A907020",""
"A925391","69","A938623","70","A907020",""
"A910405","69","A938623","70","A907020",""
"A942110","69","A938623","70","A907020",""
"A941987","69","A938623","70","A907020",""
"A984366","69","A938623","70","A907020",""
"A935555","69","A952463","70","A907020",""
"A974134","69","A952463","70","A907020",""
"A925391","69","A952463","70","A907020",""
"A910405","69","A952463","70","A907020",""
"A942110","69","A952463","70","A907020",""
"A941987","69","A952463","70","A907020",""
"A984366","69","A952463","70","A907020",""
"A935555","69","A994647","70","A907020",""
"A974134","69","A994647","70","A907020",""
"A925391","69","A994647","70","A907020",""
"A910405","69","A994647","70","A907020",""
"A942110","69","A994647","70","A907020",""
"A941987","69","A994647","70","A907020",""
"A984366","69","A994647","70","A907020",""
"A935555","69","A981694","70","A907020",""
"A974134","69","A981694","70","A907020",""
"A925391","69","A981694","70","A907020",""
"A910405","69","A981694","70","A907020",""
"A942110","69","A981694","70","A907020",""
"A941987","69","A981694","70","A907020",""
"A984366","69","A981694","70","A907020",""
"A935555","69","A981315","70","A907020",""
"A974134","69","A981315","70","A907020",""
"A925391","69","A981315","70","A907020",""
"A910405","69","A981315","70","A907020",""
"A942110","69","A981315","70","A907020",""
"A941987","69","A981315","70","A907020",""
"A984366","69","A981315","70","A907020",""
"A935555","69","A956107","70","A907020",""
"A974134","69","A956107","70","A907020",""
