recid,idtruth
GECO008749,rec-000000
GECO000711,rec-000001
GECO009577,rec-000001
GECO010887,rec-000001
GECO014320,rec-000001
GECO002686,rec-000002
GECO010548,rec-000002
GECO012006,rec-000002
GECO006762,rec-000003
GECO007803,rec-000004
GECO008865,rec-000005
GECO000087,rec-000006
GECO000517,rec-000006
GECO001084,rec-000006
GECO003540,rec-000006
GECO008636,rec-000006
GECO008458,rec-000007
GECO010423,rec-000008
GECO003442,rec-000009
GECO005337,rec-000009
GECO007182,rec-000009
GECO011665,rec-000009
GECO012318,rec-000009
GECO002189,rec-000010
GECO000916,rec-000011
GECO008890,rec-000012
GECO001702,rec-000013
GECO002657,rec-000013
GECO004882,rec-000013
GECO006256,rec-000013
GECO007306,rec-000013
GECO007627,rec-000014
GECO001738,rec-000015
GECO009161,rec-000016
GECO000872,rec-000017
GECO005437,rec-000017
GECO005920,rec-000017
GECO007249,rec-000017
GECO010132,rec-000018
GECO003648,rec-000019
GECO000207,rec-000020
GECO006595,rec-000020
GECO007846,rec-000020
GECO012743,rec-000020
GECO003684,rec-000021
GECO008691,rec-000022
GECO001431,rec-000023
GECO007264,rec-000023
GECO007839,rec-000023
GECO012165,rec-000023
GECO004926,rec-000024
GECO001427,rec-000025
GECO005905,rec-000025
GECO007096,rec-000025
GECO007229,rec-000025
GECO012641,rec-000026
GECO004827,rec-000027
GECO003210,rec-000028
GECO004249,rec-000028
GECO005973,rec-000028
GECO008556,rec-000028
GECO008733,rec-000028
GECO011012,rec-000028
GECO001123,rec-000029
GECO006412,rec-000029
GECO008002,rec-000030
GECO009050,rec-000031
GECO002384,rec-000032
GECO013811,rec-000032
GECO002324,rec-000033
GECO002809,rec-000034
GECO011686,rec-000035
GECO013505,rec-000036
GECO010736,rec-000037
GECO010291,rec-000038
GECO007094,rec-000039
GECO010541,rec-000040
GECO011477,rec-000040
GECO014742,rec-000040
GECO001913,rec-000041
GECO004738,rec-000042
GECO008886,rec-000042
GECO012463,rec-000042
GECO014652,rec-000043
GECO003452,rec-000044
GECO011003,rec-000045
GECO000658,rec-000046
GECO014026,rec-000047
GECO005262,rec-000048
GECO010252,rec-000048
GECO008496,rec-000049
GECO000817,rec-000050
GECO004304,rec-000050
GECO011100,rec-000050
GECO012017,rec-000050
GECO008798,rec-000051
GECO001582,rec-000052
GECO006221,rec-000053
GECO010256,rec-000054
GECO011717,rec-000055
GECO013220,rec-000055
GECO013261,rec-000056
GECO006050,rec-000057
GECO000318,rec-000058
GECO002756,rec-000058
