Program Version = DWM3_Entropy_Cluster
Data/Time = 2020-09-18 08:45:45.785673
Source File = S3-TokenReplace.txt
Run Mode = NewMatrix
mu	epsilon	Size	Entropy
0.7752	178.607	2	2.0
0.7752	178.607	2	0.0
0.7752	178.607	2	0.5
0.7752	178.607	2	1.0
0.7752	178.607	2	2.0
0.7752	178.607	2	0.0
0.7752	178.607	2	0.0
0.7752	178.607	2	3.5
0.7752	178.607	2	3.0
0.7752	178.607	2	2.5
0.7752	178.607	2	0.5
0.7752	178.607	2	2.0
0.7752	178.607	2	1.0
0.7752	178.607	2	2.0
0.7752	178.607	2	0.0
0.7752	178.607	2	3.0
0.7752	178.607	2	2.0
0.7752	178.607	2	1.0
0.7752	178.607	2	4.0
0.7752	178.607	2	0.0
0.7752	178.607	2	3.0
0.7752	178.607	2	0.5
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	3.5
0.7752	178.607	2	3.5
0.7752	178.607	2	3.0
0.7752	178.607	2	5.0
0.7752	178.607	2	2.5
0.7752	178.607	2	1.5
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	3.5
0.7752	178.607	2	1.0
0.7752	178.607	2	2.0
0.7752	178.607	2	1.0
0.7752	178.607	2	3.5
0.7752	178.607	2	1.5
0.7752	178.607	2	1.5
0.7752	178.607	2	3.0
0.7752	178.607	2	0.5
0.7752	178.607	2	0.5
0.7752	178.607	2	5.0
0.7752	178.607	2	1.5
0.7752	178.607	2	3.5
0.7752	178.607	2	0.5
0.7752	178.607	2	0.5
0.7752	178.607	3	1.3082708345352603
0.7752	178.607	2	0.5
0.7752	178.607	2	2.0
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	3.5
0.7752	178.607	2	1.5
0.7752	178.607	2	3.0
0.7752	178.607	2	3.0
0.7752	178.607	2	7.0
0.7752	178.607	2	0.5
0.7752	178.607	2	2.0
0.7752	178.607	2	1.0
0.7752	178.607	2	1.5
0.7752	178.607	2	3.0
0.7752	178.607	2	1.5
0.7752	178.607	2	1.5
0.7752	178.607	2	2.0
0.7752	178.607	2	2.0
0.7752	178.607	2	3.0
0.7752	178.607	2	3.5
0.7752	178.607	2	1.5
0.7752	178.607	2	1.0
0.7752	178.607	2	2.5
0.7752	178.607	2	2.5
0.7752	178.607	2	1.0
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	1.0
0.7752	178.607	2	2.0
0.7752	178.607	3	4.088220835496802
0.7752	178.607	2	1.0
0.7752	178.607	2	0.0
0.7752	178.607	2	0.5
0.7752	178.607	2	1.5
0.7752	178.607	2	0.5
0.7752	178.607	2	3.0
0.7752	178.607	2	0.5
0.7752	178.607	2	0.5
0.7752	178.607	2	1.5
0.7752	178.607	2	1.0
0.7752	178.607	2	0.5
0.7752	178.607	2	0.5
0.7752	178.607	2	0.5
0.7752	178.607	2	3.0
0.7752	178.607	2	4.0
0.7752	178.607	2	1.0
0.7752	178.607	2	2.5
0.7752	178.607	2	0.0
0.7752	178.607	2	4.0
0.7752	178.607	2	5.0
0.7752	178.607	3	4.088220835496802
