RecID,Record
A001,Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles 310-246-1501 Steakhouses
A002,Arnie Morton's of Chicago 435 S. La Cienega Blvd. Los Angeles 310/246-1501 American
A003,Art's Deli 12224 Ventura Blvd. Studio City 818-762-1221 Delis
A004,Art's Delicatessen 12224 Ventura Blvd. Studio City 818/762-1221 American
A005,Bel-Air Hotel 701 Stone Canyon Rd. Bel Air 310-472-1211 Californian
A006,Hotel Bel-Air 701 Stone Canyon Rd. Bel Air 310/472-1211 Californian
A007,Cafe Bizou 14016 Ventura Blvd. Sherman Oaks 818-788-3536 French Bistro
A008,Cafe Bizou 14016 Ventura Blvd. Sherman Oaks 818/788-3536 French
A009,Campanile 624 S. La Brea Ave. Los Angeles 213-938-1447 Californian
A010,Campanile 624 S. La Brea Ave. Los Angeles 213/938-1447 American
A011,Chinois on Main 2709 Main St. Santa Monica 310-392-9025 Pacific New Wave
A012,Chinois on Main 2709 Main St. Santa Monica 310/392-9025 French
A013,Citrus 6703 Melrose Ave. Los Angeles 213-857-0034 Californian
A014,Citrus 6703 Melrose Ave. Los Angeles 213/857-0034 Californian
A015,Fenix at the Argyle 8358 Sunset Blvd. W. Hollywood 213-848-6677 French (New)
A016,Fenix 8358 Sunset Blvd. West Hollywood 213/848-6677 American
A017,Granita 23725 W. Malibu Rd. Malibu 310-456-0488 Californian
A018,Granita 23725 W. Malibu Rd. Malibu 310/456-0488 Californian
A019,Grill  The 9560 Dayton Way Beverly Hills 310-276-0615 American (Traditional)
A020,Grill on the Alley 9560 Dayton Way Los Angeles 310/276-0615 American
A021,Katsu 1972 Hillhurst Ave. Los Feliz 213-665-1891 Japanese
A022,Restaurant Katsu 1972 N. Hillhurst Ave. Los Angeles 213/665-1891 Asian
A023,L'Orangerie 903 N. La Cienega Blvd. W. Hollywood 310-652-9770 French (Classic)
A024,L'Orangerie 903 N. La Cienega Blvd. Los Angeles 310/652-9770 French
A025,Le Chardonnay (Los Angeles) 8284 Melrose Ave. Los Angeles 213-655-8880 French Bistro
A026,Le Chardonnay 8284 Melrose Ave. Los Angeles 213/655-8880 French
A027,Locanda Veneta 8638 W. Third St. Los Angeles 310-274-1893 Italian
A028,Locanda Veneta 3rd St. Los Angeles 310/274-1893 Italian
A029,Matsuhisa 129 N. La Cienega Blvd. Beverly Hills 310-659-9639 Seafood
A030,Matsuhisa 129 N. La Cienega Blvd. Beverly Hills 310/659-9639 Asian
A031,Palm The (Los Angeles) 9001 Santa Monica Blvd. W. Hollywood 310-550-8811 Steakhouses
A032,The Palm 9001 Santa Monica Blvd. Los Angeles 310/550-8811 American
A033,Patina 5955 Melrose Ave. Los Angeles 213-467-1108 Californian
A034,Patina 5955 Melrose Ave. Los Angeles 213/467-1108 Californian
A035,Philippe The Original 1001 N. Alameda St. Chinatown 213-628-3781 Cafeterias
A036,Philippe's The Original 1001 N. Alameda St. Los Angeles 213/628-3781 American
A037,Pinot Bistro 12969 Ventura Blvd. Studio City 818-990-0500 French Bistro
A038,Pinot Bistro 12969 Ventura Blvd. Los Angeles 818/990-0500 French
A039,Rex Il Ristorante 617 S. Olive St. Los Angeles 213-627-2300 Nuova Cucina Italian
A040,Rex Il Ristorante 617 S. Olive St. Los Angeles 213/627-2300 Italian
A041,Spago (Los Angeles) 8795 Sunset Blvd. W. Hollywood 310-652-4025 Californian
A042,Spago 1114 Horn Ave. Los Angeles 310/652-4025 Californian
A043,Valentino 3115 Pico Blvd. Santa Monica 310-829-4313 Italian
A044,Valentino 3115 Pico Blvd. Santa Monica 310/829-4313 Italian
