#NAME,#NAME
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
#VALUE,#VALUE
GECO000002,GECO000002
GECO000003,GECO000003
GECO000004,GECO000004
GECO000005,GECO000005
GECO000006,GECO000006
GECO000007,GECO000007
GECO000008,GECO000008
GECO000009,GECO000009
GECO000010,GECO000010
GECO000011,GECO000011
GECO000012,GECO000012
GECO000013,GECO000013
GECO000014,GECO000014
GECO000015,GECO000015
GECO000016,GECO000016
GECO000017,GECO000017
GECO000018,GECO000018
GECO000019,GECO000019
GECO000020,GECO000020
GECO000021,GECO000021
GECO000022,GECO000022
GECO000023,GECO000023
GECO000024,GECO000024
GECO000025,GECO000025
GECO000026,GECO000026
GECO000027,GECO000027
GECO000028,GECO000021
GECO000029,GECO000029
GECO000030,GECO000030
GECO000031,GECO000031
GECO000032,GECO000032
GECO000033,GECO000033
GECO000034,GECO000034
GECO000035,GECO000035
GECO000036,GECO000036
GECO000037,GECO000037
GECO000038,GECO000038
GECO000039,GECO000039
GECO000040,GECO000040
GECO000041,GECO000041
GECO000042,GECO000042
GECO000043,GECO000043
GECO000044,GECO000044
GECO000045,GECO000045
GECO000046,GECO000046
GECO000047,GECO000047
GECO000048,GECO000048
GECO000049,GECO000049
GECO000050,GECO000050
GECO000051,GECO000051
GECO000052,GECO000052
GECO000053,GECO000053
GECO000054,GECO000054
GECO000055,GECO000055
GECO000056,GECO000056
GECO000057,GECO000057
GECO000058,GECO000058
GECO000059,GECO000059
GECO000060,GECO000060
GECO000061,GECO000061
GECO000062,GECO000062
GECO000063,GECO000063
GECO000064,GECO000064
GECO000065,GECO000065
GECO000066,GECO000066
GECO000067,GECO000067
GECO000068,GECO000068
GECO000069,GECO000069
GECO000070,GECO000070
GECO000071,GECO000071
GECO000072,GECO000072
GECO000073,GECO000073
GECO000074,GECO000074
GECO000075,GECO000075
GECO000076,GECO000076
GECO000077,GECO000077
GECO000078,GECO000078
GECO000079,GECO000079
GECO000080,GECO000080
GECO000081,GECO000081
GECO000082,GECO000082
GECO000083,GECO000083
GECO000084,GECO000084
GECO000085,GECO000008
GECO000086,GECO000086
GECO000087,GECO000087
GECO000088,GECO000088
GECO000089,GECO000089
GECO000090,GECO000090
GECO000091,GECO000091
GECO000092,GECO000092
GECO000093,GECO000093
GECO000094,GECO000094
GECO000095,GECO000095
GECO000096,GECO000096
GECO000097,GECO000097
GECO000098,GECO000098
GECO000099,GECO000099
GECO000100,GECO000100
GECO000101,GECO000101
GECO000102,GECO000102
GECO000103,GECO000103
GECO000104,GECO000104
GECO000105,GECO000105
GECO000106,GECO000106
GECO000107,GECO000107
GECO000108,GECO000108
GECO000109,GECO000109
GECO000110,GECO000110
GECO000111,GECO000111
GECO000112,GECO000112
GECO000113,GECO000113
GECO000114,GECO000114
GECO000115,GECO000115
GECO000116,GECO000116
GECO000117,GECO000117
GECO000118,GECO000118
GECO000119,GECO000119
GECO000120,GECO000120
GECO000121,GECO000121
GECO000122,GECO000122
GECO000123,GECO000095
GECO000124,GECO000124
GECO000125,GECO000125
GECO000126,GECO000126
GECO000127,GECO000127
GECO000128,GECO000128
GECO000129,GECO000129
GECO000130,GECO000130
GECO000131,GECO000131
GECO000132,GECO000132
GECO000133,GECO000133
GECO000134,GECO000134
GECO000135,GECO000135
GECO000136,GECO000136
GECO000137,GECO000137
GECO000138,GECO000138
GECO000139,GECO000139
GECO000140,GECO000140
GECO000141,GECO000141
GECO000142,GECO000142
GECO000143,GECO000143
GECO000144,GECO000144
GECO000145,GECO000145
GECO000146,GECO000146
GECO000147,GECO000147
GECO000148,GECO000148
GECO000149,GECO000149
GECO000150,GECO000150
GECO000151,GECO000151
GECO000152,GECO000152
GECO000153,GECO000153
GECO000154,GECO000154
GECO000155,GECO000155
GECO000156,GECO000156
GECO000157,GECO000157
GECO000158,GECO000158
GECO000159,GECO000159
GECO000160,GECO000160
GECO000161,GECO000161
GECO000162,GECO000162
GECO000163,GECO000163
GECO000164,GECO000164
GECO000165,GECO000165
GECO000166,GECO000166
GECO000167,GECO000167
GECO000168,GECO000037
GECO000169,GECO000169
GECO000170,GECO000170
GECO000171,GECO000171
GECO000172,GECO000172
GECO000173,GECO000173
GECO000174,GECO000174
GECO000175,GECO000175
GECO000176,GECO000176
GECO000177,GECO000177
GECO000178,GECO000178
GECO000179,GECO000179
GECO000180,GECO000180
GECO000181,GECO000181
GECO000182,GECO000182
GECO000183,GECO000183
GECO000184,GECO000184
GECO000185,GECO000185
GECO000186,GECO000186
GECO000187,GECO000187
GECO000188,GECO000188
GECO000189,GECO000189
GECO000190,GECO000190
GECO000191,GECO000191
GECO000192,GECO000192
GECO000193,GECO000057
GECO000194,GECO000194
GECO000195,GECO000195
GECO000196,GECO000196
GECO000197,GECO000197
GECO000198,GECO000198
GECO000199,GECO000199
GECO000200,GECO000200
GECO000201,GECO000201
GECO000202,GECO000202
GECO000203,GECO000203
GECO000204,GECO000204
GECO000205,GECO000205
GECO000206,GECO000206
GECO000207,GECO000207
GECO000208,GECO000208
GECO000209,GECO000209
GECO000210,GECO000210
GECO000211,GECO000211
GECO000212,GECO000212
GECO000213,GECO000213
GECO000214,GECO000214
GECO000215,GECO000215
GECO000216,GECO000216
GECO000217,GECO000217
