LeftRecID,LeftLinkID,LeftRules,RightRecID,RightLinkID,RightRules,TruthID
"A935183","A935183","","B898198","B898198","","1"
"A935183","A935183","","B964429","B964429","","1"
"B898198","B898198","","B964429","B964429","","1"
"A935183","A935183","","B925935","B925935","","1"
"B898198","B898198","","B925935","B925935","","1"
"B964429","B964429","","B925935","B925935","","1"
"A935183","A935183","","B979860","B979860","","1"
"B898198","B898198","","B979860","B979860","","1"
"B964429","B964429","","B979860","B979860","","1"
"B925935","B925935","","B979860","B979860","","1"
"A935183","A935183","","B982054","B982054","","1"
"B898198","B898198","","B982054","B982054","","1"
"B964429","B964429","","B982054","B982054","","1"
"B925935","B925935","","B982054","B982054","","1"
"B979860","B979860","","B982054","B982054","","1"
"A935183","A935183","","A969374","A969374","","1"
"B898198","B898198","","A969374","A969374","","1"
"B964429","B964429","","A969374","A969374","","1"
"B925935","B925935","","A969374","A969374","","1"
"B979860","B979860","","A969374","A969374","","1"
"B982054","B982054","","A969374","A969374","","1"
"A935183","A935183","","A994281","A994281","","1"
"B898198","B898198","","A994281","A994281","","1"
"B964429","B964429","","A994281","A994281","","1"
"B925935","B925935","","A994281","A994281","","1"
"B979860","B979860","","A994281","A994281","","1"
"B982054","B982054","","A994281","A994281","","1"
"A969374","A969374","","A994281","A994281","","1"
"A935183","A935183","","B904140","B904140","","1"
"B898198","B898198","","B904140","B904140","","1"
"B964429","B964429","","B904140","B904140","","1"
"B925935","B925935","","B904140","B904140","","1"
"B979860","B979860","","B904140","B904140","","1"
"B982054","B982054","","B904140","B904140","","1"
"A969374","A969374","","B904140","B904140","","1"
"A994281","A994281","","B904140","B904140","","1"
"A935183","A935183","","A968925","A968925","","1"
"B898198","B898198","","A968925","A968925","","1"
"B964429","B964429","","A968925","A968925","","1"
"B925935","B925935","","A968925","A968925","","1"
"B979860","B979860","","A968925","A968925","","1"
"B982054","B982054","","A968925","A968925","","1"
"A969374","A969374","","A968925","A968925","","1"
"A994281","A994281","","A968925","A968925","","1"
"B904140","B904140","","A968925","A968925","","1"
"A935183","A935183","","A915784","A915784","","1"
"B898198","B898198","","A915784","A915784","","1"
"B964429","B964429","","A915784","A915784","","1"
"B925935","B925935","","A915784","A915784","","1"
"B979860","B979860","","A915784","A915784","","1"
"B982054","B982054","","A915784","A915784","","1"
"A969374","A969374","","A915784","A915784","","1"
"A994281","A994281","","A915784","A915784","","1"
"B904140","B904140","","A915784","A915784","","1"
"A968925","A968925","","A915784","A915784","","1"
"A935183","A935183","","A993286","A993286","","1"
"B898198","B898198","","A993286","A993286","","1"
"B964429","B964429","","A993286","A993286","","1"
"B925935","B925935","","A993286","A993286","","1"
"B979860","B979860","","A993286","A993286","","1"
"B982054","B982054","","A993286","A993286","","1"
"A969374","A969374","","A993286","A993286","","1"
"A994281","A994281","","A993286","A993286","","1"
"B904140","B904140","","A993286","A993286","","1"
"A968925","A968925","","A993286","A993286","","1"
"A915784","A915784","","A993286","A993286","","1"
"A935183","A935183","","A933400","A933400","","1"
"B898198","B898198","","A933400","A933400","","1"
"B964429","B964429","","A933400","A933400","","1"
"B925935","B925935","","A933400","A933400","","1"
"B979860","B979860","","A933400","A933400","","1"
"B982054","B982054","","A933400","A933400","","1"
"A969374","A969374","","A933400","A933400","","1"
"A994281","A994281","","A933400","A933400","","1"
"B904140","B904140","","A933400","A933400","","1"
"A968925","A968925","","A933400","A933400","","1"
"A915784","A915784","","A933400","A933400","","1"
"A993286","A993286","","A933400","A933400","","1"
"B938731","B938731","","A934202","A934202","","10"
"B938731","B938731","","B978142","B978142","","10"
"A934202","A934202","","B978142","B978142","","10"
"B938731","B938731","","B952515","B952515","","10"
"A934202","A934202","","B952515","B952515","","10"
"B978142","B978142","","B952515","B952515","","10"
"B938731","B938731","","A925523","A925523","","10"
"A934202","A934202","","A925523","A925523","","10"
"B978142","B978142","","A925523","A925523","","10"
"B952515","B952515","","A925523","A925523","","10"
"B938731","B938731","","A925340","A925340","","10"
"A934202","A934202","","A925340","A925340","","10"
"B978142","B978142","","A925340","A925340","","10"
"B952515","B952515","","A925340","A925340","","10"
"A925523","A925523","","A925340","A925340","","10"
"B938731","B938731","","B994159","B994159","","10"
"A934202","A934202","","B994159","B994159","","10"
"B978142","B978142","","B994159","B994159","","10"
"B952515","B952515","","B994159","B994159","","10"
"A925523","A925523","","B994159","B994159","","10"
"A925340","A925340","","B994159","B994159","","10"
"B938731","B938731","","B941773","B941773","","10"
