RecID,IdTruth
A912969,1
A915784,1
A933400,1
A935183,1
A968925,1
A969374,1
A993286,1
A994281,1
B898198,1
B904140,1
B925935,1
B964429,1
B979860,1
B982054,1
C927166,1
C947032,1
C958740,1
C958753,1
C969798,1
C975085,1
C987127,1
A912375,2
A916465,2
A938933,2
A950002,2
A976269,2
B899683,2
B912453,2
B942977,2
B978470,2
B992255,2
C974005,2
C990952,2
A919621,3
A934050,3
A969253,3
B905139,3
B930226,3
B931661,3
B969191,3
B972710,3
B982420,3
B983676,3
C938809,3
C968015,3
C974896,3
A918703,4
A925730,4
A928400,4
A934452,4
A971286,4
A981834,4
A984365,4
A985408,4
B902669,4
B905885,4
B957756,4
B966267,4
B980413,4
C928884,4
C953848,4
C953902,4
C971474,4
C981240,4
C987690,4
A910851,5
A916427,5
A934206,5
A981547,5
A982475,5
A991944,5
B923092,5
B975951,5
B985187,5
B986758,5
B988137,5
B989879,5
C929272,5
C932343,5
C945970,5
C946301,5
C975904,5
C991660,5
A909439,6
A921197,6
A938598,6
A963724,6
A965405,6
B901812,6
B902989,6
B906813,6
B909390,6
B951905,6
C933390,6
C955466,6
C962457,6
C964339,6
A914190,7
A966209,7
B919902,7
C949369,7
C950937,7
C970769,7
A910547,8
A948251,8
B931803,8
C982067,8
A921897,9
A931685,9
B919327,9
B976102,9
B984592,9
C925515,9
C949793,9
C957087,9
C995624,9
A925340,10
A925523,10
A929987,10
A934202,10
B938731,10
B941773,10
B952515,10
B978142,10
B981997,10
B994159,10
C943741,10
C949334,10
C978860,10
C981087,10
A931477,11
A942867,11
A945431,11
B907266,11
B912004,11
B917991,11
B948493,11
B956670,11
B993674,11
A919450,12
A958592,12
A965184,12
A974138,12
A993595,12
B905217,12
B948605,12
B973372,12
B977701,12
B981822,12
B983550,12
B984526,12
C945429,12
C964859,12
C968029,12
C969830,12
C973032,12
C982875,12
C983498,12
C987106,13
A919072,14
A930345,14
A950269,14
A961997,14
B927642,14
B932045,14
B980947,14
B987034,14
C990156,14
A911379,15
A919733,15
A919968,15
A962836,15
B924749,15
B934564,15
B940369,15
B978280,15
C942082,15
C963686,15
C979375,15
A913272,16
A914964,16
A930304,16
A932311,16
A934347,16
A987908,16
B905339,16
B907111,16
B932455,16
B938534,16
B966117,16
B990484,16
B991983,16
C950182,16
C971146,16
C974086,16
C995030,16
A936040,17
A952310,17
A953220,17
A954893,17
A955230,17
A958444,17
B908781,17
B942574,17
B958300,17
B970825,17
B987440,17
B987733,17
C937056,17
C937745,17
C947279,17
C955887,17
C980913,17
C989070,17
A906334,18
A917347,18
A945707,18
A951129,18
A956877,18
A958632,18
A975778,18
A978841,18
B899373,18
B905099,18
B928299,18
B936756,18
B959883,18
B965547,18
B982529,18
C931711,18
C935137,18
C962361,18
C964604,18
C976972,18
C977330,18
C980038,18
A933977,19
A935914,19
A973515,19
A983420,19
A985872,19
A989172,19
B911287,19
B930683,19
B931148,19
B961161,19
B992281,19
B998016,19
C927061,19
C968372,19
C977389,19
C988409,19
C991200,19
C996363,19
B908275,20
B938992,20
A942416,21
B931568,21
C942463,21
A915147,22
A916614,22
A931262,22
B902686,22
B904533,22
B925835,22
B955607,22
B977896,22
B983661,22
C932503,22
C967262,22
C974018,22
A946788,23
A954485,23
A973001,23
A984241,23
A992920,23
B915379,23
B946765,23
B985280,23
B998125,23
C939374,23
A916652,24
A921791,24
A929529,24
A980433,24
B906623,24
B908713,24
B909774,24
B910346,24
B914835,24
B941725,24
B954728,24
B967925,24
C929636,24
C938054,24
C938122,24
C940703,24
C960101,24
C960846,24
C986345,24
A938252,25
A966950,25
A998191,25
B924107,25
B962649,25
B964885,25
B997100,25
C950427,25
A967741,26
A990098,26
B970535,26
C944409,26
A919949,27
A930576,27
A951564,27
A987083,27
A996590,27
B963886,27
C933254,27
C944218,27
C983424,27
C984936,27
A919380,28
A933468,28
A939758,28
A944197,28
A945781,28
A946182,28
A946441,28
A951553,28
A986267,28
B901889,28
B949550,28
B951517,28
B954810,28
B955905,28
B960089,28
B986778,28
C941538,28
C952348,28
C953134,28
C956568,28
C972861,28
C983405,28
C991551,28
C996205,28
A905129,29
A907735,29
A942004,29
B944790,29
B998584,29
C934780,29
C945697,29
C957235,29
A910648,30
A913800,30
A916823,30
A945278,30
A949183,30
A954497,30
A967887,30
B914456,30
B916413,30
B917590,30
B921663,30
B939016,30
B949155,30
B993082,30
B998090,30
C923659,30
C954985,30
C971800,30
C994097,30
A915912,31
A918138,31
A919269,31
A919294,31
A923290,31
A933671,31
A951455,31
A955686,31
A957516,31
A983821,31
A994812,31
B914958,31
B928471,31
B930624,31
B940404,31
B960068,31
B979855,31
B995353,31
B998586,31
C944367,31
C950601,31
C955314,31
C982681,31
A912274,32
A935496,32
A950359,32
A984597,32
A991652,32
B916273,32
B917998,32
B943702,32
B983097,32
B992393,32
C938297,32
C960907,32
C971850,32
C989771,32
A911664,33
A981463,33
B909016,33
B912001,33
B970178,33
C947229,33
C977783,33
C978186,33
A928742,34
B913984,34
B924362,34
B997645,34
C975175,34
C980135,34
A985507,35
B901164,35
C974639,35
A915811,36
A941560,36
A943895,36
A949033,36
A954699,36
A965079,36
B944379,36
B953961,36
B958228,36
B967888,36
B978775,36
B980649,36
B988259,36
C923941,36
C936564,36
C941521,36
C953886,36
C975109,36
C985716,36
A912446,37
A928605,37
A938763,37
A951655,37
A964112,37
B927283,37
B955976,37
B970650,37
B974722,37
B979905,37
C978208,37
C988221,37
A932865,38
A954327,38
A960175,38
A966807,38
A971069,38
A973232,38
A993869,38
B920841,38
B926109,38
B936058,38
B959840,38
B963823,38
B968021,38
C937928,38
C967536,38
C972652,38
C992006,38
C998005,38
A918787,39
A921686,39
A925863,39
A953658,39
A968130,39
A992644,39
B899383,39
B926228,39
B946841,39
B956129,39
B966914,39
B991507,39
C939024,39
C960700,39
C963863,39
C978925,39
C992899,39
C995551,39
A949419,40
A970526,40
A978629,40
B930737,40
B969397,40
A904736,41
A916657,41
A918704,41
A925777,41
A934693,41
A938166,41
A950907,41
A956011,41
A973956,41
B921077,41
B940949,41
B945630,41
B947906,41
B953665,41
B971789,41
B988654,41
B993706,41
C923963,41
C930170,41
C942472,41
C944575,41
C949447,41
C957018,41
C958975,41
C961105,41
A923672,42
A927802,42
A967414,42
A969999,42
A992480,42
A997290,42
B944997,42
B946843,42
B953235,42
B963185,42
B981733,42
B985198,42
B987606,42
B990580,42
C928568,42
C941862,42
C982069,42
C982395,42
C992236,42
C997537,42
A948020,43
A948312,43
A956581,43
A964503,43
A966679,43
B920371,43
B939669,43
B959787,43
B983634,43
B998425,43
C931577,43
C973955,43
C990441,43
A915657,44
A939834,44
A959018,44
A990775,44
B899844,44
B933188,44
B979201,44
B992271,44
C959092,44
C990874,44
A922420,45
A953110,45
A985927,45
B943136,45
B987766,45
C929945,45
A991050,46
A997754,46
B918340,46
B932113,46
C942585,46
C972285,46
A908338,47
A963853,47
A966759,47
B917608,47
B941732,47
C981325,47
A906528,48
A915089,48
A958194,48
A960821,48
A987545,48
B932857,48
B956865,48
B957718,48
B965444,48
B991065,48
C951418,48
C961763,48
C982286,48
