RecID,idtruth
A001,1
A002,1
A003,2
A004,2
A005,3
A006,3
A007,4
A008,4
A009,5
A010,5
A011,6
A012,6
A013,7
A014,7
A015,8
A016,8
A017,9
A018,9
A019,10
A020,10
A021,11
A022,11
A023,12
A024,12
A025,13
A026,13
A027,14
A028,14
A029,15
A030,15
A031,16
A032,16
A033,17
A034,17
A035,18
A036,18
A037,19
A038,19
A039,20
A040,20
A041,21
A042,21
A043,22
A044,22
A045,23
A046,23
A047,24
A048,24
A049,25
A050,25
A051,26
A052,26
A053,27
A054,27
A055,28
A056,28
A057,29
A058,29
A059,30
A060,30
A061,31
A062,31
A063,32
A064,32
A065,33
A066,33
A067,34
A068,34
A069,35
A070,35
A071,36
A072,36
A073,37
A074,37
A075,38
A076,38
A077,39
A078,39
A079,40
A080,40
A081,41
A082,41
A083,42
A084,42
A085,43
A086,43
A087,44
A088,44
A089,45
A090,45
A091,46
A092,46
A093,47
A094,47
A095,48
A096,48
A097,49
A098,49
A099,50
A100,50
A101,51
A102,51
A103,52
A104,52
A105,53
A106,53
A107,54
A108,54
A109,55
A110,55
A111,56
A112,56
A113,57
A114,57
A115,58
A116,58
A117,59
A118,59
A119,60
A120,60
A121,61
A122,61
A123,62
A124,62
A125,63
A126,63
A127,64
A128,64
A129,65
A130,65
A131,66
A132,66
A133,67
A134,67
A135,68
A136,68
A137,69
A138,69
A139,70
A140,70
A141,71
A142,71
A143,72
A144,72
A145,73
A146,73
A147,74
A148,74
A149,75
A150,75
A151,76
A152,76
A153,77
A154,77
A155,78
A156,78
A157,79
A158,79
A159,80
A160,80
A161,81
A162,81
A163,82
A164,82
A165,83
A166,83
A167,84
A168,84
A169,85
A170,85
A171,86
A172,86
A173,87
A174,87
A175,88
A176,88
A177,89
A178,89
A179,90
A180,90
A181,91
A182,91
A183,92
A184,92
A185,93
A186,93
A187,94
A188,94
A189,95
A190,95
A191,96
A192,96
A193,97
A194,97
A195,98
A196,98
A197,99
A198,99
A199,100
A200,100
A201,101
A202,101
A203,102
A204,102
A205,103
A206,103
A207,104
A208,104
A209,105
A210,105
A211,106
A212,106
A213,107
A214,107
A215,108
A216,108
A217,109
A218,109
A219,110
A220,110
A221,111
A222,111
A223,112
A224,112
A225,113
A226,114
A227,115
A228,116
A229,117
A230,118
A231,119
A232,120
A233,121
A234,122
A235,123
A236,124
A237,125
A238,126
A239,127
A240,128
A241,129
A242,130
A243,131
A244,132
A245,133
A246,134
A247,135
A248,136
A249,137
A250,138
A251,139
A252,140
A253,141
A254,142
A255,143
A256,144
A257,145
A258,146
A259,147
A260,148
A261,149
A262,150
A263,151
A264,152
A265,153
A266,154
A267,155
A268,156
A269,157
A270,158
A271,159
A272,160
A273,161
A274,162
A275,163
A276,164
A277,165
A278,166
A279,167
A280,168
A281,169
A282,170
A283,171
A284,172
A285,173
A286,174
A287,175
A288,176
A289,177
A290,178
A291,179
A292,180
A293,181
A294,182
A295,183
A296,184
A297,185
A298,186
A299,187
A300,188
A301,189
A302,190
A303,191
A304,192
A305,193
A306,194
A307,195
A308,196
A309,197
A310,198
A311,199
A312,200
A313,201
A314,202
A315,203
A316,204
A317,205
A318,206
A319,207
A320,208
A321,209
A322,210
A323,211
A324,212
A325,213
A326,214
A327,215
A328,216
A329,217
A330,218
A331,219
A332,220
A333,221
A334,222
A335,223
A336,224
A337,225
A338,226
A339,227
A340,228
A341,229
A342,230
A343,231
A344,232
A345,233
A346,234
A347,235
A348,236
A349,237
A350,238
A351,239
A352,240
A353,241
A354,242
A355,243
A356,244
A357,245
A358,246
A359,247
A360,248
A361,249
A362,250
A363,251
A364,252
A365,253
A366,254
A367,255
A368,256
A369,257
A370,258
A371,259
A372,260
A373,261
A374,262
A375,263
A376,264
A377,265
A378,266
A379,267
A380,268
A381,269
A382,270
A383,271
A384,272
A385,273
A386,274
A387,275
A388,276
A389,277
A390,278
A391,279
A392,280
A393,281
A394,282
A395,283
A396,284
A397,285
A398,286
A399,287
A400,288
A401,289
A402,290
A403,291
A404,292
A405,293
A406,294
A407,295
A408,296
A409,297
A410,298
A411,299
A412,300
A413,301
A414,302
A415,303
A416,304
A417,305
A418,306
A419,307
A420,308
A421,309
A422,310
A423,311
A424,312
A425,313
A426,314
A427,315
A428,316
A429,317
A430,318
A431,319
A432,320
A433,321
A434,322
A435,323
A436,324
A437,325
A438,326
A439,327
A440,328
A441,329
A442,330
A443,331
A444,332
A445,333
A446,334
A447,335
A448,336
A449,337
A450,338
A451,339
A452,340
A453,341
A454,342
A455,343
A456,344
A457,345
A458,346
A459,347
A460,348
A461,349
A462,350
A463,351
A464,352
A465,353
A466,354
A467,355
A468,356
A469,357
A470,358
A471,359
A472,360
A473,361
A474,362
A475,363
A476,364
A477,365
A478,366
A479,367
A480,368
A481,369
A482,370
A483,371
A484,372
A485,373
A486,374
A487,375
A488,376
A489,377
A490,378
A491,379
A492,380
A493,381
A494,382
A495,383
A496,384
A497,385
A498,386
A499,387
A500,388
A501,389
A502,390
A503,391
A504,392
A505,393
A506,394
A507,395
A508,396
A509,397
A510,398
A511,399
A512,400
A513,401
A514,402
A515,403
A516,404
A517,405
A518,406
A519,407
A520,408
A521,409
A522,410
A523,411
A524,412
A525,413
A526,414
A527,415
A528,416
A529,417
A530,418
A531,419
A532,420
A533,421
A534,422
A535,423
A536,424
A537,425
A538,426
A539,427
A540,428
A541,429
A542,430
A543,431
A544,432
A545,433
A546,434
A547,435
A548,436
A549,437
A550,438
A551,439
A552,440
A553,441
A554,442
A555,443
A556,444
A557,445
A558,446
A559,447
A560,448
A561,449
A562,450
A563,451
A564,452
A565,453
A566,454
A567,455
A568,456
A569,457
A570,458
A571,459
A572,460
A573,461
A574,462
A575,463
A576,464
A577,465
A578,466
A579,467
A580,468
A581,469
A582,470
A583,471
A584,472
A585,473
A586,474
A587,475
A588,476
A589,477
A590,478
A591,479
A592,480
A593,481
A594,482
A595,483
A596,484
A597,485
A598,486
A599,487
A600,488
A601,489
